,COUNTRY,YEAR,AVG,FAVG,MAVG,GBIRTHRT,GDEATHRT,GROW,GDP
172,Denmark,2001,5358783.0,2709551.0,2649233.0,12.2,10.9,19142.0,184045.6
173,Denmark,2002,5375931.0,2717646.0,2658285.0,11.9,10.9,15153.0,189794.9
174,Denmark,2003,5390574.0,2724295.0,2666279.0,12.0,10.7,14133.0,193353.4
175,Denmark,2004,5404523.0,2730809.0,2673714.0,12.0,10.3,13765.0,202422.2
176,Denmark,2005,5419432.0,2737863.0,2681569.0,11.9,10.1,16054.0,212832.4
177,Denmark,2006,5437272.0,2746018.0,2691254.0,12.0,10.2,19625.0,225531.3
178,Denmark,2007,5461438.0,2756774.0,2704664.0,11.7,10.2,28707.0,233383.3
179,Denmark,2008,5493621.0,2771278.0,2722343.0,11.8,9.9,35660.0,241613.5
180,Denmark,2009,5523095.0,2785442.0,2737653.0,11.4,9.9,23287.0,231278.0
181,Denmark,2010,5547683.0,2797749.0,2749934.0,11.4,9.8,25890.0,243165.4
182,Denmark,2011,5570572.0,2808893.0,2761679.0,10.6,9.4,19888.0,247879.9
183,Denmark,2012,5591572.0,2818758.0,2772814.0,10.4,9.4,22112.0,254578.0
184,Denmark,2013,5614932.0,2829366.0,2785566.0,10.0,9.3,24607.0,258742.7
185,Denmark,2014,5643475.0,2841829.0,2801647.0,10.1,9.1,32480.0,265757.0
186,Denmark,2015,5683483.0,2859033.0,2824451.0,10.2,9.2,47536.0,273017.6
187,Denmark,2016,5728010.0,2878978.0,2849033.0,10.8,9.2,41518.0,283109.7
188,Denmark,2017,5764980.0,2896654.0,2868326.0,10.6,9.2,32421.0,294808.2
189,Denmark,2018,5793636.0,2910863.0,2882773.0,10.6,9.5,24891.0,302328.7
190,Denmark,2019,5814422.0,2921427.0,2892996.0,10.5,9.3,16682.0,309526.4
191,Denmark,2020,5831404.0,2930517.0,2900888.0,10.4,9.4,17282.0,311356.3
192,Denmark,2021,5856733.0,2942847.0,2913886.0,10.8,9.8,33375.0,342961.7
193,Denmark,2022,5903037.0,,,9.9,10.1,59234.0,380617.8
194,Estonia,2001,1388115.0,741430.0,646685.0,9.1,13.3,-9210.0,6987.1
195,Estonia,2002,1379350.0,737205.0,642145.0,9.4,13.3,-8320.0,7822.6
196,Estonia,2003,1370720.0,733000.0,637720.0,9.5,13.2,-8940.0,8744.4
197,Estonia,2004,1362550.0,728970.0,633580.0,10.3,13.0,-7400.0,9777.5
198,Estonia,2005,1354775.0,724955.0,629820.0,10.6,12.8,-8150.0,11343.3
199,Estonia,2006,1346810.0,720715.0,626095.0,11.0,12.9,-7780.0,13568.9
200,Estonia,2007,1340680.0,717525.0,623155.0,11.8,13.0,-4480.0,16401.3
201,Estonia,2008,1337090.0,715405.0,621685.0,12.0,12.5,-2700.0,16618.1
202,Estonia,2009,1334515.0,713455.0,621060.0,11.8,12.1,-2450.0,14131.9
203,Estonia,2010,1331475.0,711225.0,620250.0,11.9,11.9,-3630.0,14741.1
204,Estonia,2011,1327439.0,708520.0,618919.0,11.1,11.5,-4443.0,16677.3
205,Estonia,2012,1322696.0,705543.0,617153.0,10.6,11.7,-5043.0,17916.7
206,Estonia,2013,1317997.0,702454.0,615543.0,10.3,11.6,-4355.0,18910.8
207,Estonia,2014,1314545.0,699891.0,614654.0,10.3,11.8,-2548.0,20048.2
208,Estonia,2015,1315407.0,699701.0,615706.0,10.6,11.6,1074.0,20631.4
209,Estonia,2016,1315790.0,698667.0,617123.0,10.7,11.7,-309.0,21747.9
210,Estonia,2017,1317384.0,698073.0,619311.0,10.5,11.8,3498.0,23833.6
211,Estonia,2018,1321977.0,698617.0,623360.0,10.9,11.9,5687.0,25932.2
212,Estonia,2019,1326898.0,699442.0,627456.0,10.6,11.6,4156.0,27764.7
213,Estonia,2020,1329522.0,699426.0,630096.0,9.9,11.9,1092.0,27465.0
214,Estonia,2021,1330932.0,698767.0,632165.0,10.0,14.0,1728.0,31444.9
215,Estonia,2022,1348840.0,,,8.6,12.8,34088.0,36181.4
216,Finland,2001,5188008.0,2654539.0,2533469.0,10.8,9.4,13786.0,144628.0
217,Finland,2002,5200598.0,2659342.0,2541257.0,10.7,9.5,11394.0,148486.0
218,Finland,2003,5213014.0,2664109.0,2548905.0,10.9,9.4,13437.0,151749.0
219,Finland,2004,5228172.0,2670687.0,2557485.0,11.0,9.1,16879.0,158758.0
220,Finland,2005,5246096.0,2678882.0,2567214.0,11.0,9.1,18969.0,164687.0
221,Finland,2006,5266268.0,2688222.0,2578046.0,11.2,9.1,21375.0,172897.0
222,Finland,2007,5288720.0,2698455.0,2590265.0,11.1,9.3,23529.0,187072.0
223,Finland,2008,5313399.0,2709179.0,2604220.0,11.2,9.2,25830.0,194265.0
224,Finland,2009,5338871.0,2720511.0,2618360.0,11.3,9.3,25113.0,181747.0
225,Finland,2010,5363352.0,2731610.0,2631742.0,11.4,9.5,23849.0,188143.0
226,Finland,2011,5388272.0,2742797.0,2645475.0,11.1,9.4,25991.0,197998.0
227,Finland,2012,5413971.0,2754393.0,2659578.0,11.0,9.6,25407.0,201037.0
228,Finland,2013,5438972.0,2765479.0,2673493.0,10.7,9.5,24596.0,204321.0
229,Finland,2014,5461512.0,2775398.0,2686114.0,10.5,9.6,20483.0,206897.0
230,Finland,2015,5479531.0,2782854.0,2696677.0,10.1,9.6,15555.0,211385.0
231,Finland,2016,5495303.0,2788394.0,2706909.0,9.6,9.8,15989.0,217518.0
232,Finland,2017,5508214.0,2792485.0,2715729.0,9.1,9.8,9833.0,226301.0
233,Finland,2018,5515525.0,2794314.0,2721211.0,8.6,9.9,4789.0,233462.0
234,Finland,2019,5521606.0,2795830.0,2725776.0,8.3,9.8,7373.0,239858.0
235,Finland,2020,5529543.0,2798508.0,2731035.0,8.4,10.0,8501.0,238038.0
236,Finland,2021,5541017.0,2802563.0,2738455.0,9.0,10.4,14448.0,250920.0
237,Finland,2022,5556106.0,,,8.1,11.4,15729.0,268650.0
238,France,2001,61201676.0,31523457.0,29678219.0,13.1,8.8,444721.0,1538200.0
239,France,2002,61644062.0,31766706.0,29877356.0,12.9,8.8,440052.0,1587829.0
240,France,2003,62078165.0,32004021.0,30074144.0,12.8,9.1,428153.0,1630666.0
241,France,2004,62532556.0,32253781.0,30278775.0,12.8,8.3,480629.0,1704019.0
242,France,2005,63001253.0,32512772.0,30488481.0,12.8,8.5,456765.0,1765905.0
243,France,2006,63437350.0,32740184.0,30697167.0,13.1,8.3,415430.0,1848151.0
244,France,2007,63826129.0,32934398.0,30891732.0,12.8,8.3,362128.0,1941360.0
245,France,2008,64178710.0,33114605.0,31064105.0,12.9,8.5,343033.0,1992380.0
246,France,2009,64504541.0,33279670.0,31224872.0,12.8,8.5,308630.0,1936422.0
247,France,2010,64818789.0,33436456.0,31382333.0,12.9,8.5,319865.0,1995289.0
248,France,2011,65127852.0,33593710.0,31534143.0,12.7,8.4,298262.0,2058369.0
249,France,2012,65438667.0,33749643.0,31689024.0,12.6,8.7,323367.0,2088804.0
250,France,2013,65771309.0,33916678.0,31854631.0,12.4,8.7,341917.0,2117189.0
251,France,2014,66312067.0,34202373.0,32109694.0,12.4,8.4,292173.0,2149765.0
252,France,2015,66548272.0,34337450.0,32210822.0,12.0,8.9,180238.0,2198432.0
253,France,2016,66724104.0,34443235.0,32280869.0,11.8,8.9,171425.0,2234129.0
254,France,2017,66918020.0,34553729.0,32364291.0,11.5,9.1,216408.0,2297242.0
255,France,2018,67158348.0,34675563.0,32482785.0,11.3,9.1,264247.0,2363306.0
256,France,2019,67388001.0,34791715.0,32596287.0,11.2,9.1,195060.0,2437635.0
257,France,2020,67571107.0,34891818.0,32679289.0,10.9,9.9,171151.0,2317832.0
258,France,2021,67764304.0,34987639.0,32776665.0,11.0,9.8,215243.0,2502118.0
259,France,2022,67971311.0,,,10.6,9.8,198772.0,2639092.0
260,Germany,2001,82349925.0,42134319.0,40215606.0,8.9,10.1,180769.0,2172540.0
261,Germany,2002,82488495.0,42178717.0,40309778.0,8.7,10.2,96371.0,2198120.0
262,Germany,2003,82534176.0,42183729.0,40350447.0,8.6,10.3,-5009.0,2211570.0
263,Germany,2004,82516260.0,42161440.0,40354821.0,8.6,9.9,-30822.0,2262520.0
264,Germany,2005,82469422.0,42122628.0,40346794.0,8.3,10.1,-62854.0,2288310.0
265,Germany,2006,82376451.0,42055887.0,40320564.0,8.2,10.0,-123089.0,2385080.0
266,Germany,2007,82266372.0,41978643.0,40287729.0,8.3,10.1,-97069.0,2499550.0
267,Germany,2008,82110097.0,41880809.0,40229288.0,8.3,10.3,-215481.0,2546490.0
268,Germany,2009,81902307.0,41758362.0,40143945.0,8.1,10.4,-200099.0,2445730.0
269,Germany,2010,81776930.0,41668914.0,40108016.0,8.3,10.5,-50655.0,2564400.0
270,Germany,2011,80274983.0,41097709.0,39177274.0,8.3,10.6,105835.0,2693560.0
271,Germany,2012,80425823.0,41120362.0,39305462.0,8.4,10.8,195846.0,2745310.0
272,Germany,2013,80645605.0,41176655.0,39468950.0,8.5,11.1,243717.0,2811350.0
273,Germany,2014,80982500.0,41286310.0,39696190.0,8.8,10.7,430074.0,2927430.0
274,Germany,2015,81686611.0,41511821.0,40174790.0,9.0,11.3,978147.0,3026180.0
275,Germany,2016,82348669.0,41743048.0,40605621.0,9.6,11.1,345969.0,3134740.0
276,Germany,2017,82657002.0,41886661.0,40770342.0,9.5,11.3,270698.0,3267160.0
277,Germany,2018,82905782.0,42000654.0,40905128.0,9.5,11.5,226862.0,3365450.0
278,Germany,2019,83092962.0,42090810.0,41002152.0,9.4,11.3,147498.0,3474110.0
279,Germany,2020,83160871.0,42128805.0,41032066.0,9.3,11.9,-11680.0,3403730.0
280,Germany,2021,83196078.0,42149426.0,41046652.0,9.6,12.3,82093.0,3617450.0
281,Germany,2022,83797985.0,,,8.8,12.7,1121721.0,3876810.0
282,Greece,2001,10862132.0,5506585.0,5355547.0,9.4,9.4,52285.0,152193.8
283,Greece,2002,10902022.0,5514110.0,5387913.0,9.5,9.5,27496.0,163460.8
284,Greece,2003,10928070.0,5527642.0,5400428.0,9.6,9.7,24599.0,178904.9
285,Greece,2004,10955141.0,5542872.0,5412269.0,9.6,9.6,29543.0,193715.8
286,Greece,2005,10987314.0,5561388.0,5425927.0,9.8,9.6,34804.0,199242.3
287,Greece,2006,11020362.0,5582544.0,5437818.0,10.2,9.6,31292.0,217861.6
288,Greece,2007,11048473.0,5603377.0,5445096.0,10.1,9.9,24929.0,232694.6
289,Greece,2008,11077841.0,5625820.0,5452021.0,10.7,9.7,33808.0,241990.4
290,Greece,2009,11107017.0,5648537.0,5458480.0,10.6,9.8,24544.0,237534.2
291,Greece,2010,11121341.0,5664186.0,5457155.0,10.3,9.8,4103.0,224124.0
292,Greece,2011,11104899.0,5666235.0,5438664.0,9.6,10.0,-36986.0,203308.2
293,Greece,2012,11045011.0,5649943.0,5395068.0,9.1,10.6,-82791.0,188380.6
294,Greece,2013,10965211.0,5625466.0,5339745.0,8.6,10.2,-76808.0,179884.4
295,Greece,2014,10892413.0,5601598.0,5290815.0,8.5,10.4,-68789.0,177236.0
296,Greece,2015,10820883.0,5574583.0,5246300.0,8.5,11.2,-74270.0,176368.9
297,Greece,2016,10775971.0,5553227.0,5222744.0,8.6,11.0,-15555.0,174494.2
298,Greece,2017,10754679.0,5539021.0,5215659.0,8.2,11.6,-27028.0,176903.4
299,Greece,2018,10732882.0,5523716.0,5209167.0,8.1,11.2,-16566.0,179557.7
